case_id,dyad,month,split,total_event_count,conflict_count,military_count,threat_count,cooperation_count,diplomatic_count,avg_tone,avg_goldstein,cinc_ratio,diplomatic_score,trade_dependence,news_sentiment,recent_conflicts,us_gdp_current_usd,target_gdp_current_usd,us_military_expenditure_usd,target_military_expenditure_usd,us_trade_percent_gdp,target_trade_percent_gdp,fatalities_sum,us_actor_events,model_probability,label,future_6m_escalation_score,label_threshold
ACLED_CASE_00000,US-China,2016-01,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00001,US-China,2016-02,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00002,US-China,2016-03,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00003,US-China,2016-04,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00004,US-China,2016-05,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00005,US-China,2016-06,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00006,US-China,2016-07,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00007,US-China,2016-08,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00008,US-China,2016-09,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00009,US-China,2016-10,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00010,US-China,2016-11,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00011,US-China,2016-12,train,0,0,0,0,0,0,0.0,0.0,1.067497233011382,0.0,0.313925663767182,0.0,0.0,18695110842000.0,11456024084962.0,639856443000.0,0.0,26.6079620604584,36.177170692978,0.0,0,0.2795640401277765,0,0.0,296.99
ACLED_CASE_00012,US-China,2017-01,train,0,0,0,0,0,0,0.0,0.0,1.0662383301752512,0.0,0.32131936751790297,0.0,0.0,19477336549000.0,12537559062282.9,646752927000.0,0.0,27.3130208877206,36.95085261586,0.0,0,0.2795513626493453,0,0.0,296.99
ACLED_CASE_00013,US-China,2017-02,train,0,0,0,0,0,0,0.0,0.0,1.0662383301752512,0.0,0.32131936751790297,0.0,0.0,19477336549000.0,12537559062282.9,646752927000.0,0.0,27.3130208877206,36.95085261586,0.0,0,0.2795513626493453,0,0.0,296.99
ACLED_CASE_00014,US-China,2017-03,train,0,0,0,0,0,0,0.0,0.0,1.0662383301752512,0.0,0.32131936751790297,0.0,0.0,19477336549000.0,12537559062282.9,646752927000.0,0.0,27.3130208877206,36.95085261586,0.0,0,0.2795513626493453,0,0.0,296.99
ACLED_CASE_00015,US-China,2017-04,train,0,0,0,0,0,0,0.0,0.0,1.0662383301752512,0.0,0.32131936751790297,0.0,0.0,19477336549000.0,12537559062282.9,646752927000.0,0.0,27.3130208877206,36.95085261586,0.0,0,0.2795513626493453,0,0.0,296.99
ACLED_CASE_00016,US-China,2017-05,train,0,0,0,0,0,0,0.0,0.0,1.0662383301752512,0.0,0.32131936751790297,0.0,0.0,19477336549000.0,12537559062282.9,646752927000.0,0.0,27.3130208877206,36.95085261586,0.0,0,0.2795513626493453,0,0.0,296.99
